publisher	country
Q3843814	Italy
Q3844768	Italy
Q3846373	Italy
Federal University of Rio Grande do Norte	Brazil
Universidad Nacional de Ingeniería	Nicaragua
Escola Superior de Propaganda e Marketing	Brazil
Federal University of Campina Grande	Brazil
Q3850581	Italy
Q3852638	Italy
Q3855143	Italy
Q3855317	Italy
Morano	Italy
Q3870416	Italy
Urmia University	Iran
University of Zanjan	Iran
Newton Compton	Italy
Q3879830	Italy
Odradek edizioni	Italy
Officina di studi medievali	Italy
Comisso Prize	Italy
Edizioni pulcinoelefante	Italy
Q3926092	Italy
R. Bemporad & figlio	Italy
Rizzoli Lizard	Italy
Rosenberg & Sellier	Italy
Q3946539	Italy
Sandro Teti Editore	Italy
Sansoni	Italy
Sensibili alle foglie	Italy
Q3955997	Netherlands
Sesaab	Italy
Kitap	Russia
Kniga	Russia
"Izdatelʹskiĭ dom ""Kolo"""	Russia
Q4240460	Russia
Manas University	Kyrgyzstan
State University of Malang	Indonesia
Trisakti University	Indonesia
"Publishing house ""Labirint"""	Russia
Q4259514	Russia
Muhammadiyah University of Magelang	Indonesia
Australian Reptile Park	Australia
Mann, Ivanov and Ferber	Russia
Q4286087	Russia
International Society for Horticultural Science	Belgium
Q4288316	Russia
Mektep	Kazakhstan
Moscow State University of Psychology and Education	Russia
Moscow State Technical University of Civil Aviation	Russia
Murmansk State Technical University	Russia
Musagetes	Russia
Flemish Esperanto League	Belgium
National University “Yaroslav the Wise Law Academy of Ukraine”	Ukraine
National University of Food Technologies	Ukraine
National University of Life and Environmental Sciences of Ukraine	Ukraine
Nedra Publishers	Russia
Nizhny Novgorod State Pedagogical University	Russia
Nizhpoligraf	Russia
United Institute of Informatics Problems of the National Academy of Sciences of Belarus	Belarus
Odesa National Academy of Food Technologies	Ukraine
OLMA Media Group	Russia
Otdelenie VYHOD	Russia
Q4346358	Japan
Shoukabou	Japan
National Institute of Informatics	Japan
Gijutsu-Hyohron	Japan
Iđut	Norway
Söderströms Förlags Ab	Finland
Q4361433	Russia
Petrozavodsk State University	Russia
Piter	Russia
Q4364425	Russia
Q4371584	Latvia
Pravda	Russia
Saint Tikhon Orthodox University of the Humanities	Russia
Q4376410	Russia
Prydniprovska State Academy of Civil Engineering and Architecture	Ukraine
Universidade Federal de São Paulo	Brazil
Pyatigorsk Medical and Pharmaceutical Institute - branch of Volgograd State Medical University	Russia
Q4396698	Russia
Russian Academy of Medical Sciences	Russia
Russian Academy of Architecture and Construction Sciences	Russia
Russian State Vocational Pedagogical University	Russia
Russian Ilizarov Scientific Center for Restorative Traumatology and Orthopaedics	Russia
Russian New University	Russia
Russian Bible Society	Russia
Q4398543	Russia
Q4400523	Russia
Samara State Technical University	Russia
St. Petersburg Institute for Informatics and Automation	Russia
Saratov State Medical University	Russia
Sangatsu Manga	Finland
Siberian State Automobile and Highway Academy	Russia
Q4419841	Russia
Snezhny`j Kom M	Russia
Sovremennik	Russia
Q4431080	Russia
Sumy State University	Ukraine
Tver State University	Russia
Q4456143	Russia
Q4462622	Russia
Ukrainian Medical Stomatological Academy	Ukraine
Ukrainian Encyclopedia (publishing)	Ukraine
Syiah Kuala University	Indonesia
Q3959671	Italy
Q3963277	Italy
Italian Chemical Society	Italy
Società Speleologica Italiana	Italy
Italian Physical Society	Italy
Sperling & Kupfer	Italy
Q3979627	Poland
EAFIT University	Colombia
Our Lady of the Rosary University	Colombia
Transeuropa Edizioni	Italy
Q3998211	Italy
Umberto Allemandi & C.	Italy
Catholic University of Colombia	Colombia
Verso Books	United States of America
Q4024243	Italy
State Polytechnics of Andalas	Indonesia
Ad Marginem	Russia
Human Rights Publishers	Russia
Q4042287	Russia
Krause Publications	United States of America
Munshiram Manoharlal	India
Nikita Online	Russia
Q4050399	Poland
Q4050579	Estonia
Tollie Records	United States of America
Wrox Press	United States of America
"OOO ""Abris"""	Russia
Q4056057	Russia
Agricultural University of Havana	Cuba
Azbuka	Russia
Academy of Fine Arts in Gdansk	Poland
Q4063550	Russia
Q4063640	Russia
Q4063656	Russia
Amphora	Russia
Q4070097	Russia
Belgorod State Technological University	Russia
British Psychological Society	United Kingdom
Vagrius	Russia
Wiedza Powszechna	Poland
Vesʹ mir	Russia
Q4110287	Russia
Vita Nova	Russia
Q4114096	Russia
Q4114631	Russia
University of Qom	Iran
University of Massachusetts Dartmouth	United States of America
University of Al-Qadisiyah	Iraq
University of Kufa	Iraq
Chinese Esperanto League	China
National Nuclear Energy Agency	Indonesia
Q4122550	Russia
Volgograd State University of Architecture and Civil Engineering	Russia
Volgograd State University	Russia
Vostochno-Sibirskoe knizhnoe izdatelʹstvo	Russia
Q4127110	Russia
Q4127354	Russia
Q4130804	Russia
Kodansha Box	Japan
Gelikon Plus	Russia
Hylaea (publisher)	Russia
Hrani	Ukraine
Detskaya Literatura	Russia
National Centre for Earth Science Studies	India
Drofa	Russia
Q4173237	Russia
Q4192923	Russia
YMCA Press	France
Ivano-Frankivsk National Medical University	Ukraine
Izdatelʹstvo Ivana Limbakha	Russia
Q4198521	Russia
Sriwijaya University	Indonesia
Impeto	Russia
Diponegoro University	Indonesia
Q4200869	Russia
Q4201293	Russia
Institute of Mathematics of the Siberian Branch of the Russian Academy of Sciences	Russia
Institute of Cytology and Genetics	Russia
Iskusstvo	Russia
Kemerovo State University	Russia
Ultra.Kultura	Russia
Ural State Pedagogical University	Russia
Universidade Federal do Tocantins	Brazil
Fizkultura i sport	Russia
Q4483635	Russia
Q4489491	Netherlands
Kozhedub University of the Air Force	Ukraine
Kherson State University	Ukraine
National Natural Science Foundation of China	China
Khudozhestvennaya Literatura	Russia
Q4513576	Russia
Chuvash publishing company	Russia
Franklin College Switzerland	Switzerland
Q4530323	Russia
Q4533995	Russia
Q4538922	Russia
Research Institute of Petroleum Industry	Iran
Universidade Federal do Pará	Brazil
Universidade do Estado do Pará	Brazil
BradyGames	United States of America
Q4583544	Belgium
Forlaget Oktober	Norway
1i Productions	Canada
MangaGamer	Japan
Q4607576	Netherlands
Abeka	United States of America
Abertay Historical Society	United Kingdom
Academic Press Corporation	United States of America
Academy of Economic Studies of Moldova	Moldova
Academy of Science of South Africa	South Africa
Adva Center	Israel
Advent:Publishers	United States of America
Aesthetic Research Centre	Canada
Afe Babalola University	Nigeria
Agog! Press	Australia
Agora University	Romania
Air-Britain	United Kingdom
Al-Ameen Medical College	India
Alberta Medical Association	Canada
Alberto Hurtado University	Chile
Alcuin Club	United Kingdom
Alexander von Humboldt Biological Resources Research Institute	Colombia
Allured Business Media	United States of America
Altenberg Publishing	Ukraine
American Academy of Orthopaedic Surgeons	United States of America
American Association for Clinical Chemistry	United States of America
American Book Company	United States of America
American Dental Education Association	United States of America
American Federation of Teachers	United States of America
American Geosciences Institute	United States of America
American Journalism Historians Association	United States of America
American Neurological Association	United States of America
American Phytopathological Society	United States of America
American Society for Aesthetics	United States of America
American Society for Clinical Investigation	United States of America
American Society for Neurochemistry	United States of America
American Society for Radiation Oncology	United States of America
American Society of Exercise Physiologists	United States of America
American Society of Parasitologists	United States of America
American Society of Plant Biologists	United States of America
American Water Works Association	United States of America
An Gúm	Ireland
Andrews University Press	United States of America
Anglo-Norman Text Society	United Kingdom
Anhinga Press	United States of America
Animal Liberation Press Office	Italy
Another Rainbow Publishing	United States of America
Anton Community Newspapers	United States of America
Anvil Publishing	Philippines
Apollo Recordings	United Kingdom
Appleton-Century-Crofts	United States of America
Applewood Books	United States of America
Arak University of Medical Sciences	Iran
Arc publications	United Kingdom
Arcade Publishing	United States of America
Arion Press	United States of America
Armada Books	United Kingdom
Arthur A. Levine Books	United States of America
Arthur H. Clark Company	United States of America
Asia University	Taiwan
Associated Collegiate Press	United States of America
Association for Educational Communications and Technology	United States of America
Association for Theatre in Higher Education	United States of America
Association of College and Research Libraries	United States of America
Atari Program Exchange	United States of America
Audio Fidelity	United States of America
Aurum Press	United Kingdom
Austral University	Argentina
Australian Computer Society	Australia
Australian Design Group	Australia
Australian Government Publishing Service	Australia
Australian National University Library	Australia
Autonomous University of Baja California	Mexico
Autonomous University of Nayarit	Mexico
Autonomous University of Tamaulipas	Mexico
Autumn House Press	United States of America
Ave Maria Press	United States of America
Azzam Publications	United Kingdom
B&H Publishing Group	United States of America
B. J. Medical College, Ahmedabad	India
Babol University of Medical Sciences	Iran
Bahauddin Zakariya University	Pakistan
Balcony Press	United States of America
National Institute for Materials Science	Japan
Bandung Islamic University	Indonesia
Bangabandhu Sheikh Mujib Medical University	Bangladesh
Bangladesh Agricultural University	Bangladesh
Bangladesh Council of Scientific and Industrial Research	Bangladesh
Baqiyatallah University of Medical Sciences	Iran
Bards and Sages	United States of America
Barefoot Books	United States of America
Barnard Center for Research on Women	United States of America
University of Belgrade Faculty of Economics	Serbia
Belladonna Series	United States of America
Belmont Books	United States of America
Grøndahl & Søn Forlag	Norway
Institut National d'Educació Física de Catalunya	Spain
Editorial Ekin	Spain
Gipuzkoa Foral Council	Spain
Bhatkal and Sen	India
Bible Society Australia	Australia
Bible Society NSW	Australia
Bible Society in New Zealand	New Zealand
Biblioteca Ayacucho	Venezuela
Big Brother Mouse	Laos
Biochemical Society	United Kingdom
Bloodletting Press	United States of America
Book Club Associates	United Kingdom
Bookboon	France
Bookcraft	United States of America
Boston Society for the Diffusion of Useful Knowledge	United States of America
Bote & Bock	Germany
Brazilian Computer Society	Brazil
Brazilian Linguistics Association	Brazil
Brazilian Medical Association	Brazil
Brazilian Society of Physics	Brazil
Bread and Cheese Club	Australia
Keio University Press	Japan
British Columbia Medical Association	Canada
British Record Society	United Kingdom
British Society for the History of Science	United Kingdom
Buck Institute for Research on Aging	United States of America
Universidade Estadual da Paraíba	Brazil
Danish Medical Association	Denmark
Bushehr University of Medical Sciences	Iran
Butterick Publishing Company	United States of America
Bézier Games	United States of America
CCCB Publications	Canada
Idigicon Limited	United Kingdom
California Digital Library	United States of America
Camden Society	United Kingdom
Canadian Society for Clinical Investigation	Canada
Canterbury and York Society	United Kingdom
Capra Press	United States of America
Capriccio	Germany
Capstone Publishers	United States of America
Carl Fischer Music	United States of America
Carlton Publishing Group	United Kingdom
Carswell	Canada
Cayetano Heredia University	Peru
Manisa Celal Bayar University	Turkey
Center for Louisiana Studies	United States of America
Center for the Study of the Presidency and Congress	United States of America
The Great Russian Encyclopedia	Russia
Centre for Eastern Studies	Poland
Centre for Strategic Research and Analysis	United Kingdom
Centro Universitário Franciscano	Brazil
Centro de Documentación Musical de Andalucía	Spain
Chandos Publishing	United States of America
Charlton Press	United States of America
Cheap Repository Tracts	United Kingdom
Chemistry Central	United Kingdom
Faculdade Cásper Líbero	Brazil
Chessex	United States of America
China Books and Periodicals	United States of America
China Legal Publishing House	China
Chinese Academy of Fishery Sciences	China
Christian History Institute	United States of America
Christopher Center Library Services	United States of America
Churchill Livingstone	United Kingdom
Classic Mysteries	United Kingdom
Cluster Publications	South Africa
Co-operative College	United Kingdom
Co-operative Press	United Kingdom
Colby College Libraries	United States of America
College of the Northern Border	Mexico
Luxembourg Mathematical Society	Luxembourg
College Art Association	United States of America
Collegium Civitas	Poland
Collier Books	United States of America
Colnaghi	United Kingdom
Columbia Comics	United States of America
Columbia Theological Seminary	United States of America
Columbia University Libraries	United States of America
Compupress	Greece
Concordia Publishing House	United States of America
Conran Octopus	United Kingdom
Conserve	Netherlands
Cornell University Library	United States of America
Cosmi Corporation	United States of America
Costa Rica Institute of Technology	Costa Rica
Croatian Interdisciplinary Society	Croatia
Crown Records	United States of America
Cryptozoic Entertainment	United States of America
Cumbancha	United States of America
Current Publishing	United States of America
Curwen Press	United Kingdom
Cymdeithas Lyfrau Ceredigion	United Kingdom
Czech Geological Society	Czech Republic
University of Piura	Peru
Peruvian University of Applied Sciences	Peru
Dalian University of Technology Press	China
Deccan College of Medical Sciences	India
Decision Games	United States of America
Del Sol Press	United States of America
Delfinium Prints	Germany
Democratic Nursing Organisation of South Africa	South Africa
Universidad Nacional de Rosario	Argentina
Department for Education and Skills	United Kingdom
National University of the Northeast	Argentina
Det Norske Arbeiderpartis Forlag	Norway
Dewan Bahasa dan Pustaka Brunei	Brunei
Diversion Books	United States of America
Dod's Parliamentary Communications	United Kingdom
Dongbei University of Finance and Economics Press	China
Doubleday Canada	Canada
Dover Records	United Kingdom
Dragon Moon Press	United States of America
Draper & Folsom	United States of America
Dubai Media Incorporated	United Arab Emirates
Duke University Libraries	United States of America
Duta Wacana Christian University	Indonesia
Dutton Children's Books	United States of America
Eagle Newspapers	United States of America
Eakins Press	United States of America
Earthscan	United Kingdom
Edelsa	Spain
Editions Didier Millet	Singapore
Editora JBC	Brazil
Editorial Costa Rica	Costa Rica
Editorial Losada	Argentina
Educational Publishing House	United States of America
Yuzusoft	Japan
Electric Book Works	South Africa
Electric Dreams Software	United Kingdom
Electronic Engineering Polytechnic Institute of Surabaya	Indonesia
Seikyūsha	Japan
Gagaga Bunko	Japan
Fujimi Fantasia Bunko	Japan
Famitsu Bunko	Japan
Ichijinsha Bunko	Japan
Encyclopedia of China Publishing House	China
Engineers Without Borders (Australia)	Australia
Enitharmon Press	United Kingdom
Epsilon Pi Tau	United States of America
Q5391427	Spain
University of Caxias do Sul	Brazil
Universidad de las Fuerzas Armadas - ESPE	Ecuador
Ajatus Kirjat	Finland
Euro-Mediterranean University of Slovenia	Slovenia
Editorial Televisa	Mexico
European Academy of Allergy and Clinical Immunology	Switzerland
European Association of Geochemistry	France
European Society of Endocrinology	United Kingdom
Unión Editorial	Spain
European Survey Research Association	United Kingdom
Amorrortu Editores	Spain
Q5674756	Spain
Hayden Books	United States of America
Editorial Ferma	Spain
Hebrew Writers Association in Israel	Israel
Antar-Telefunken	Uruguay
Arlanza Ediciones	Spain
Medical University of Ilam	Iran
Q5708332	Uruguay
Hendon Publishing Company	United States of America
Henley-Putnam University	United States of America
Q5732363	Spain
Herald House	United States of America
National University of General San Martín	Argentina
Calambur Editorial	Spain
Hesperian Press	Australia
Hesperus Press	United Kingdom
Carumbé	Uruguay
Centro Latinoamericano de Estudios en Informática	Chile
Hill and Range Songs, Inc.	United States of America
Hindi Granth Karyalay	India
Hippocampus Press	United States of America
Institute for University Publishing	Iran
Q5779000	Spain
Corporación Universitaria Minuto de Dios	Colombia
Q5796975	Spain
Q5797683	Spain
Q5799105	Spain
Q5800201	Spain
Federal University of Viçosa	Brazil
Q5817831	Spain
Q5817838	Spain
Q5817836	Spain
Q5817841	Spain
Dolmen Ediciones	Spain
Ediciones Encuentro	Spain
Q5817857	Spain
Q5817862	Spain
Q5817860	Spain
Q5817866	Spain
Ediciones Júcar	Spain
Q5817875	Spain
Q5817877	Spain
Q5817880	Spain
Q5817886	Spain
Q5817888	Spain
Ediciones Obelisco	Spain
Ediciones Palabra	Spain
Q5817907	Spain
Q5817905	Spain
Ediciones Sombra	Spain
Ediciones Siruela	Spain
Ediciones Vitruvio	Spain
Q5817938	Uruguay
Ediciones de la Torre	Spain
Q5817955	Spain
Edicions UPC	Spain
Q5818502	Spain
Editora Nacional	Spain
Editora Nacional Quimantú	Chile
Q5818589	Spain
Q5818594	Spain
Q5818592	Spain
Editorial Biblioteca Nueva	Spain
Columba	Argentina
Q5818609	Spain
Q5818617	Spain
Q5818622	Spain
Editorial Funambulista	Spain
Q5818638	Spain
Gedisa Editorial	Spain
Q5818647	Spain
Q5818652	Spain
Editorial Jurídica de Chile	Chile
Q5818656	Spain
Editorial Kairós	Spain
Lengua de Trapo	Spain
Q5818695	Mexico
Q5818702	Spain
Q5818704	Spain
Editorial Sudamericana	Argentina
Q5818718	Spain
Editorial Trotta	Spain
Q5818728	Spain
Empresa Editora Zig-Zag	Chile
Egales	Spain
El Colegio Mexiquense	Mexico
Everyman's Library	United States of America
Evil Hat Productions	United States of America
FSpace Publications	United States of America
FabJob	United States of America
Faculty of Engineering of the University of Porto	Portugal
Faculty of Civil Engineering, University of Osijek	Croatia
Faculty of Economics, University of Osijek	Croatia
Fantasoft	United States of America
Fantasy Publishing Company, Inc.	United States of America
Farol	Portugal
Faster Than Light	United Kingdom
Fatima Jinnah Women University	Pakistan
Fearless Critic	United States of America
Federal University of Paraíba	Brazil
Universidade Federal do Maranhão	Brazil
Universidade Federal de São Carlos	Brazil
Federal University of Uberlândia	Brazil
Florida Atlantic University Libraries	United States of America
Florida State University College of Medicine	United States of America
Flower Comics	Japan
Fonotipia	Italy
Fram Forlag	Norway
Q5488640	Portugal
Franklin Watts	United Kingdom
Frederick Harris Music	Canada
Free Press	United States of America
Libre University of Colombia	Colombia
Freund Publishing House	United States of America
Federal University of Rio Grande	Brazil
Fundação Getúlio Vargas	Brazil
Guangzhou Institute of Biomedicine and Health	China
Galileo Games	United States of America
The Galpin Society	United Kingdom
Gambit Publications	United Kingdom
Gemini G.E.L.	United States of America
George A. Smathers Libraries	United States of America
Q5541058	Netherlands
Georgia State University Atlanta Campus Library	United States of America
Gerontological Society of America	United States of America
Gesharim	Israel
Universidad Nacional Abierta y a Distancia	Colombia
Girls Gone By Publishers	United Kingdom
Globe Pequot Press	United States of America
National University of Central Buenos Aires	Argentina
Golden Gryphon Press	United States of America
Goodheart–Willcox	United States of America
Gorgan University	Iran
Gospel Advocate	United States of America
Grace Editorial	Brazil
Grandslam Entertainments	United Kingdom
Grant-Hadley Enterprises	United States of America
Graphicstudio	United States of America
Grove Atlantic	United States of America
Lindenwood University	United States of America
HJ Bunko	Japan
Hamilton Library	United States of America
Lutheran University of Brazil	Brazil
Hard Case Crime	United States of America
Academia Nacional de Estudios Políticos y Estratégicos	Chile
Harleian Society	United Kingdom
Q5658620	Spain
Q5659724	Spain
Harold B. Lee Library	United States of America
Q5660834	Spain
Harper Prism	United States of America
El Colegio de Sonora	Mexico
El Colegio de San Luis	Mexico
Q5834723	Spain
EIA University	Colombia
Universidad Nacional Experimental Rafael María Baralt	Venezuela
Q5853345	Spain
Facultad de Derecho	Uruguay
Universidad Nacional de La Plata, Facultad de Humanidades y Ciencias de la Educación	Argentina
Universidad de Buenos Aires. Facultad de Psicología	Argentina
Interamerican Open University	Argentina
Fundación Universitaria Juan de Castellanos	Colombia
Hitcents	United States of America
Hmong Studies Journal	United States of America
Hodges Figgis	Ireland
Holiday Records	United States of America
Hollym	United States of America
Holt McDougal	United States of America
Honourable Society of Cymmrodorion	United Kingdom
Q5900940	Chile
Zanjan University of Medical Sciences	Iran
Indescomp	Spain
National Institute of Genomic Medicine INMEGEN	Mexico
National Institute of Pediatrics	Mexico
National Institute of Health of Peru	Peru
Instituto de Botánica del Nordeste	Argentina
Instituto de Investigaciones Dr. José María Luis Mora	Mexico
Instituto de Investigaciones Históricas	Mexico
Indonesian Institute of the Arts	Indonesia
Joaquín Mortiz	Mexico
Huia Publishers	New Zealand
Damghan University	Iran
Alborz University of Medical Sciences	Iran
Q5941085	Spain
Payame Noor University	Iran
Hormozgan University of Medical Sciences	Iran
Hungry Tiger Press	United States of America
University of Maragheh	Iran
Huntington Library Press	United States of America
University of Magallanes	Chile
University of Social Welfare and Rehabilitation Sciences	Iran
Kerman Medical University	Iran
Writers Publishing House	China
Shanghai Lexicographical Publishing House	China
Sai-zen-sen	Japan
Iran Polymer and Petrochemical Institute	Iran
Shanghai Translation Publishing House	China
Islamic Azad University of Tabriz	Iran
La Factoría de Ideas	Spain
People's Literature Publishing House	China
IAOE	Austria
Laboratorio Tecnológico del Uruguay	Uruguay
Universidad Icesi	Colombia
IHS Press	United States of America
University of Electronic Science and Technology of China	China
Q5974999	Spain
IUPUI University Library	United States of America
Ludotecnia	Spain
Q5988050	Spain
Impact! Miniatures	United Kingdom
In the Library with the Lead Pipe	United States of America
Miraguano Ediciones	Spain
Indian Association for Angiosperm Taxonomy	India
Indian Psychiatric Society	India
Indie Press Revolution	United States of America
Infinite Ideas	United Kingdom
Infobase Publishing	United States of America
Inner Mongolia People's Publishing House	China
Yapi Kredi Publications	Turkey
Institut Maurice Thorez	France
Institute for Anarchist Studies	United States of America
Institute for Operations Research and the Management Sciences	United States of America
Institute of Business Management	Pakistan
Institute of Management Foundation	Brazil
Institute of Molecular Biology and Genetics of NASU	Ukraine
TU Dublin Tallaght	Ireland
Instituto Agronômico de Campinas	Brazil
Instituto Superior de Ciências Educativas	Portugal
Instituto Tecnológico de Santo Domingo	Dominican Republic
Nosolorol Ediciones	Spain
Interceptor Micros	United Kingdom
Nórdica Libros	Spain
International Bone and Mineral Society	United States of America
International Pharmaceutical Excipients Council	United States of America
Plaza & Janés	Spain
Isfahan University of Technology	Iran
Ishik University	Iraq
Islamic Azad University of Rasht	Iran
Positech Games	United Kingdom
Q6085229	Spain
Israel Exploration Society	Israel
Israel Export Institute	Israel
Q6090649	Spain
Ivyspring International Publisher	Australia
BiBLOS	Japan
SEPIN	Spain
Media Works Bunko	Japan
Jambi University	Indonesia
Siglo Veintiuno de España Editores	Spain
Q6128200	Spain
Q6130841	Spain
Sociedad Entomológica Argentina	Argentina
VA Bunko	Japan
Taurus	Spain
Society for the Diffusion of Christian and General Knowledge Among the Chinese	China
James Thin	United Kingdom
Timunmas	Spain
Jamsai	Thailand
Jan Długosz University	Poland
Q6151485	Spain
Trama editorial	Spain
Universidad Autónoma Metropolitana Unidad Xochimilco	Mexico
Autonomous University of Chiapas	Mexico
Fundación Universitaria Autónoma de Colombia	Colombia
Universidad Autónoma del Caribe	Colombia
"University ""Marta Abreu"" of Las Villas"	Cuba
Universidad Continental	Peru
Distance State University	Costa Rica
International University of La Rioja	Spain
Universidad Mariana	Colombia
Universidad Nacional Hermilio Valdizán	Peru
National University of Avellaneda	Argentina
Universidad Politécnica de Cartagena	Spain
Rafael Belloso Chacin University	Venezuela
Universidad Santo Tomás	Chile
Universidad de Manizales	Colombia
University of Medellín	Colombia
Universidad de San Buenaventura	Colombia
University of Santander	Colombia
Universidad de la Costa	Colombia
Universidad de Los Hemisferios	Ecuador
Japan Society for Bioscience, Biotechnology and Agrochemistry	Japan
Q6163098	Spain
Q6169994	Spain
Q6171111	Spain
¡Caramba!	Spain
UNICURITIBA	Brazil
Jenderal Soedirman University	Indonesia
Jimma University	Ethiopia
John Day Company	United States of America
Joint Publishing	China
Heinemann	United States of America
Judaica Press	United States of America
Judges Guild	United States of America
National University of Lomas de Zamora	Argentina
National University of Quilmes	Argentina
National University of Entre Ríos	Argentina
Karachi Institute of Economics and Technology	Pakistan
Kashan University of Medical Sciences	Iran
Kathmandu University	Nepal
Kegedonce Press	Canada
Kent Archaeological Society	United Kingdom
Kermanshah University of Medical Sciences	Iran
Kharazmi University	Iran
Khyber Medical University	Pakistan
Kinneret Zmora-Bitan Dvir	Israel
Kitaooji Shobo Publishing	Japan
Nipissing University	Canada
Klutz Press	United States of America
Komichi Shobo Publishing	Japan
Korea Institute of Science & Technology Information	South Korea
Kunming Institute of Botany	China
Lepra	United Kingdom
Q6459747	Spain
La Salle University, Colombia	Colombia
Laird & Lee	United States of America
Lampung University	Indonesia
Lancelot Press	Canada
Lantern Books	United States of America
Last Unicorn Games	United States of America
Leabhar Breac	Ireland
Lean Construction Institute	United States of America
Norwegian Bible Society	Norway
Legend Press	United Kingdom
Narodnaya Asveta	Belarus
Q6526969	Belarus
Q6528188	Israel
Letts and Lonsdale	United Kingdom
Level Comics	Indonesia
Q6536820	Israel
Liaquat University of Medical and Health Sciences	Pakistan
Libertas Academica	New Zealand
Liberte Publications	Turkey
Liberties Press	Ireland
Liberty Fund	United States of America
Librairie de France	United States of America
Opus Press	Israel
Q6549370	Israel
Lincoln Record Society	United Kingdom
Q6551152	Israel
Linguistic Society of America	United States of America
Hamadan University of Medical Sciences	Iran
Q6565462	Israel
Q6566074	Israel
Söylemiş	Turkey
Q6573629	Israel
Q6576083	Israel
Q6578049	Israel
Bursi Press	Israel
Q6580874	Israel
Matar Publishing House	Israel
Hotsaʼat Reʼuven Mas	Israel
Q6585323	Israel
Babel	Israel
Q6588703	Israel
University of Novi Sad Faculty of Law	Serbia
Q6596516	Israel
Juritzen Forlag	Norway
Universidade Federal do Recôncavo da Bahia	Brazil
Q6619039	Israel
Publifolha	Brazil
Q6628342	Israel
Carmel Publishing House	Israel
Q6640557	Israel
Q6641181	Israel
Literary Guild	United States of America
Q6649490	Israel
Eked	Israel
Living Reviews	Netherlands
Nation Edutainment	Thailand
Murmur	Australia
London News Network	United Kingdom
Lone Pine Publishing	Canada
Masada Press	Israel
Amihai Publishing	Israel
M. Witmark & Sons	United States of America
Even ḥoshen	Israel
M Network	United States of America
Nahar Books	Israel
Macmillan of Canada	Canada
Q6737646	Israel
Universidade Federal de Ouro Preto	Brazil
Malone Society	United Kingdom
Yeshivat Makor Chaim	Israel
Q6749562	Israel
MapArt	Canada
Q6757538	Israel
Marshall Pickering	United Kingdom
Q6780587	Israel
McClain Printing Company	United States of America
McGill University Library	Canada
Megami Bunko	Japan
Mehran University of Engineering and Technology	Pakistan
Meisha Merlin Publishing	United States of America
Mercu Buana University	Indonesia
Mercury Publications	United States of America
Metagaming Concepts	United States of America
Midas Interactive Entertainment	United Kingdom
Q6853528	Israel
King Faisal Specialist Hospital and Research Centre	Saudi Arabia
Minnesota Department of Natural Resources	United States of America
Minos EMI	Greece
Mofid University	Iran
Q6917961	Israel
Mount Mercy University	United States of America
Gvanim (books publisher)	Israel
Muhammadiyah University of Makassar	Indonesia
Mulawarman University	Indonesia
Q6944022	Israel
Mysterious Press	United States of America
NISCAIR	India
NPI Media	United Kingdom
Schalgi	Israel
Nasza Księgarnia	Poland
National Council of Teachers of English	United States of America
National Institute of Statistics	Romania
National Rivers Authority	United Kingdom
Q6978168	Israel
National Scientific and Technical Research Council	Argentina
National Taipei University of Education	Taiwan
National University of Austral Patagonia	Argentina
National University of Colombia at Medellín	Colombia
National University of La Matanza	Argentina
National University of La Pampa	Argentina
National University of Mar del Plata	Argentina
National University of Salta	Argentina
National University of Patagonia San Juan Bosco	Argentina
National University of Tres de Febrero	Argentina
National University of Tucumán	Argentina
Navy Records Society	United Kingdom
Neil A. Kjos Music Company	United States of America
New England Science Fiction Association	United States of America
New English Library	United Kingdom
New Harbinger Publications	United States of America
New Island Books	Ireland
New Rivers Press	United States of America
New Zealand Association of Scientists	New Zealand
New Zealand Nurses Organisation	New Zealand
Q7032626	Israel
Shtibel	Israel
Q7045523	Israel
Q7047680	Israel
Nolo.com	United States of America
Norfolk Record Society	United Kingdom
Northumbria University Press	United Kingdom
Norwegian Fire Protection Association	Norway
Achdut printing press	Israel
Oak Tree Press	United Kingdom
Oberlin College Libraries	United States of America
Obsidian House Publishing	Canada
Obzorja	Slovenia
Oceanography Society	United States of America
Ode Records	United States of America
Oktomica Comics	United States of America
Siberian Law University	Russia
Oncology Nursing Society	United States of America
OneBigGame	United States of America
Orbis Publishing Ltd.	United Kingdom
Orbit Publications	United States of America
Organization for Transformative Works	United States of America
Orthopterists' Society	United States of America
Osun State University	Nigeria
Oviatt Library	United States of America
Pacific Linguistics	Australia
Pagan Publishing	United States of America
Paper Tiger Books	United Kingdom
Paramount Publishing Enterprise	Pakistan
Paraná Federal Institute of Education, Science and Technology	Brazil
Partizan Press	United Kingdom
Pecan Grove Press	United States of America
Pedlar Press	Canada
Universidade de Passo Fundo	Brazil
Pendragon Press	United States of America
Pennsylvania State University Libraries	United States of America
Per Aspera Press	United States of America
Phantasia Press	United States of America
Phantomville	India
Pilgrims Publishing	India
Pitchstone Publishing	United States of America
Plantation Records	United States of America
Poetry Bookshop	United Kingdom
Polirom	Romania
Politecnica Salesiana University	Ecuador
Kibbutzim College of Education	Israel
Oz Vehadar	Israel
Polytechnic Institute of Viana do Castelo	Portugal
Polytechnic José Antonio Echeverría	Cuba
Ponta Grossa State University	Brazil
Popular Library	United States of America
Practical Law Company	United Kingdom
Precis Intermedia Gaming	United States of America
Prickly Paradigm Press	United States of America
